datetime,predicted_price
2022-05-01 00:00:00,220.77086
2022-05-01 01:00:00,307.5941
2022-05-01 02:00:00,321.1396
2022-05-01 03:00:00,318.27783
2022-05-01 04:00:00,299.682
2022-05-01 05:00:00,333.16663
2022-05-01 06:00:00,290.09296
2022-05-01 07:00:00,328.5912
2022-05-01 08:00:00,315.54492
2022-05-01 09:00:00,308.23068
2022-05-01 10:00:00,273.46207
2022-05-01 11:00:00,292.39038
2022-05-01 12:00:00,271.9259
2022-05-01 13:00:00,240.44652
2022-05-01 14:00:00,254.10574
2022-05-01 15:00:00,290.70294
2022-05-01 16:00:00,286.0622
2022-05-01 17:00:00,296.5694
2022-05-01 18:00:00,340.1041
2022-05-01 19:00:00,384.34506
2022-05-01 20:00:00,381.06146
2022-05-01 21:00:00,368.6014
2022-05-01 22:00:00,356.11462
2022-05-01 23:00:00,353.84723
2022-05-02 00:00:00,179.20424
2022-05-02 01:00:00,333.4899
2022-05-02 02:00:00,346.679
2022-05-02 03:00:00,338.05865
2022-05-02 04:00:00,302.17468
2022-05-02 05:00:00,330.70712
2022-05-02 06:00:00,356.31866
2022-05-02 07:00:00,353.52594
2022-05-02 08:00:00,346.21786
2022-05-02 09:00:00,342.5279
2022-05-02 10:00:00,354.8902
2022-05-02 11:00:00,354.90186
2022-05-02 12:00:00,341.85712
2022-05-02 13:00:00,332.08987
2022-05-02 14:00:00,329.85187
2022-05-02 15:00:00,322.8627
2022-05-02 16:00:00,329.5903
2022-05-02 17:00:00,346.30072
2022-05-02 18:00:00,328.1668
2022-05-02 19:00:00,319.73102
2022-05-02 20:00:00,330.99942
2022-05-02 21:00:00,331.1126
2022-05-02 22:00:00,347.85956
2022-05-02 23:00:00,336.58713
2022-05-03 00:00:00,188.81418
2022-05-03 01:00:00,306.18155
2022-05-03 02:00:00,329.4815
2022-05-03 03:00:00,305.02213
2022-05-03 04:00:00,338.87473
2022-05-03 05:00:00,348.44296
2022-05-03 06:00:00,339.73746
2022-05-03 07:00:00,329.74054
2022-05-03 08:00:00,313.46747
2022-05-03 09:00:00,313.72995
2022-05-03 10:00:00,324.9139
2022-05-03 11:00:00,325.94366
2022-05-03 12:00:00,306.407
2022-05-03 13:00:00,331.18085
2022-05-03 14:00:00,301.62628
2022-05-03 15:00:00,289.74417
2022-05-03 16:00:00,328.49875
2022-05-03 17:00:00,328.3378
2022-05-03 18:00:00,323.0618
2022-05-03 19:00:00,336.33554
2022-05-03 20:00:00,338.14465
2022-05-03 21:00:00,332.30103
2022-05-03 22:00:00,319.2094
2022-05-03 23:00:00,329.1041
2022-05-04 00:00:00,183.84088
2022-05-04 01:00:00,321.6901
2022-05-04 02:00:00,316.86627
2022-05-04 03:00:00,300.88638
2022-05-04 04:00:00,327.0936
2022-05-04 05:00:00,308.49548
2022-05-04 06:00:00,333.16245
2022-05-04 07:00:00,337.1927
2022-05-04 08:00:00,340.11664
2022-05-04 09:00:00,339.10764
2022-05-04 10:00:00,322.13776
2022-05-04 11:00:00,349.86127
2022-05-04 12:00:00,334.7033
2022-05-04 13:00:00,314.82578
2022-05-04 14:00:00,325.9519
2022-05-04 15:00:00,337.41165
2022-05-04 16:00:00,338.90674
2022-05-04 17:00:00,322.03928
2022-05-04 18:00:00,336.60648
2022-05-04 19:00:00,340.31253
2022-05-04 20:00:00,338.78476
2022-05-04 21:00:00,339.9555
2022-05-04 22:00:00,339.99847
2022-05-04 23:00:00,317.34518
2022-05-05 00:00:00,168.81218
2022-05-05 01:00:00,293.76666
2022-05-05 02:00:00,290.85632
2022-05-05 03:00:00,278.2974
2022-05-05 04:00:00,309.54968
2022-05-05 05:00:00,321.1859
2022-05-05 06:00:00,334.46066
2022-05-05 07:00:00,316.37396
2022-05-05 08:00:00,328.6392
2022-05-05 09:00:00,309.38812
2022-05-05 10:00:00,295.72272
2022-05-05 11:00:00,317.46967
2022-05-05 12:00:00,337.37338
2022-05-05 13:00:00,305.1405
2022-05-05 14:00:00,328.57925
2022-05-05 15:00:00,330.1452
2022-05-05 16:00:00,330.4677
2022-05-05 17:00:00,331.7431
2022-05-05 18:00:00,300.42673
2022-05-05 19:00:00,318.15436
2022-05-05 20:00:00,323.44394
2022-05-05 21:00:00,332.82306
2022-05-05 22:00:00,332.67587
2022-05-05 23:00:00,295.0209
2022-05-06 00:00:00,146.18396
2022-05-06 01:00:00,296.57477
2022-05-06 02:00:00,261.22668
2022-05-06 03:00:00,261.35672
2022-05-06 04:00:00,286.15143
2022-05-06 05:00:00,323.89066
2022-05-06 06:00:00,319.57443
2022-05-06 07:00:00,307.8383
2022-05-06 08:00:00,309.2129
2022-05-06 09:00:00,286.51767
2022-05-06 10:00:00,322.7143
2022-05-06 11:00:00,325.39307
2022-05-06 12:00:00,328.90692
2022-05-06 13:00:00,326.8444
2022-05-06 14:00:00,311.85654
2022-05-06 15:00:00,326.04697
2022-05-06 16:00:00,328.3997
2022-05-06 17:00:00,325.6885
2022-05-06 18:00:00,296.09286
2022-05-06 19:00:00,291.03555
2022-05-06 20:00:00,321.67395
2022-05-06 21:00:00,318.53116
2022-05-06 22:00:00,293.2866
2022-05-06 23:00:00,294.01193
2022-05-07 00:00:00,169.43977
2022-05-07 01:00:00,330.48715
2022-05-07 02:00:00,321.48175
2022-05-07 03:00:00,320.99796
2022-05-07 04:00:00,321.28967
2022-05-07 05:00:00,320.839
2022-05-07 06:00:00,324.2394
2022-05-07 07:00:00,326.95767
2022-05-07 08:00:00,325.40738
2022-05-07 09:00:00,327.3108
2022-05-07 10:00:00,301.0304
2022-05-07 11:00:00,313.19342
2022-05-07 12:00:00,292.1159
2022-05-07 13:00:00,295.16287
2022-05-07 14:00:00,305.24863
2022-05-07 15:00:00,304.57346
2022-05-07 16:00:00,262.44458
2022-05-07 17:00:00,309.94962
2022-05-07 18:00:00,319.36978
2022-05-07 19:00:00,325.11667
2022-05-07 20:00:00,324.89102
2022-05-07 21:00:00,324.32596
2022-05-07 22:00:00,310.2819
2022-05-07 23:00:00,290.8687
2022-05-08 00:00:00,119.074196
2022-05-08 01:00:00,268.87595
2022-05-08 02:00:00,274.19656
2022-05-08 03:00:00,276.29745
2022-05-08 04:00:00,274.4737
2022-05-08 05:00:00,279.1989
2022-05-08 06:00:00,279.95425
2022-05-08 07:00:00,297.12732
2022-05-08 08:00:00,296.586
2022-05-08 09:00:00,296.39752
2022-05-08 10:00:00,288.76
2022-05-08 11:00:00,295.4077
2022-05-08 12:00:00,283.27072
2022-05-08 13:00:00,281.19043
2022-05-08 14:00:00,287.10843
2022-05-08 15:00:00,251.45308
2022-05-08 16:00:00,296.3928
2022-05-08 17:00:00,297.85873
2022-05-08 18:00:00,325.41168
2022-05-08 19:00:00,339.754
2022-05-08 20:00:00,341.31808
2022-05-08 21:00:00,333.21817
2022-05-08 22:00:00,332.13913
2022-05-08 23:00:00,324.82758
2022-05-09 00:00:00,148.03032
2022-05-09 01:00:00,297.62967
2022-05-09 02:00:00,296.15396
2022-05-09 03:00:00,296.8536
2022-05-09 04:00:00,299.9798
2022-05-09 05:00:00,314.67303
2022-05-09 06:00:00,296.05643
2022-05-09 07:00:00,311.21167
2022-05-09 08:00:00,308.13568
2022-05-09 09:00:00,290.7076
2022-05-09 10:00:00,314.836
2022-05-09 11:00:00,301.16254
2022-05-09 12:00:00,301.68768
2022-05-09 13:00:00,301.2131
2022-05-09 14:00:00,313.6353
2022-05-09 15:00:00,296.23477
2022-05-09 16:00:00,309.2668
2022-05-09 17:00:00,321.74368
2022-05-09 18:00:00,293.87186
2022-05-09 19:00:00,293.78418
